source,target,value
G9,G10,0.038753398
G90,G10,0.024976198
G91,G10,0.019284382
G92,G10,0.044341352
G93,G10,0.015982756
G94,G10,0.02655625
G95,G10,0.017377241
G96,G10,0.019695824
G97,G10,0.014489583
G98,G10,0.013579153
G99,G10,0.033511745
G1,G100,0.03652486
G10,G100,0.058849295
G11,G100,0.043705478
G12,G100,0.030934801
G13,G100,0.03304734
G14,G100,0.025395978
G15,G100,0.081944614
G16,G100,0.021724229
G17,G100,0.016016386
G18,G100,0.02264911
G19,G100,0.019303899
G2,G100,0.087771062
G20,G100,0.082088526
G21,G100,0.093087227
G22,G100,0.041408126
G23,G100,0.031963967
G24,G100,0.018613976
G25,G100,0.061760693
G26,G100,0.022955339
G27,G100,0.029903268
G28,G100,0.029207372
G29,G100,0.078623635
G3,G100,0.05516099
G30,G100,0.25915066
G31,G100,0.016681333
G32,G100,0.064735108
G33,G100,0.009807183
G34,G100,0.020654677
G35,G100,0.028982555
G36,G100,0.026485397
G37,G100,0.062162834
G38,G100,0.022234517
G39,G100,0.04627399
G4,G100,0.027470692
G40,G100,0.026457085
G41,G100,0.018537265
G42,G100,0.01975238
G43,G100,0.021771559
G44,G100,0.020136491
G45,G100,0.173380284
G46,G100,0.020198118
G47,G100,0.016291469
G48,G100,0.082726843
G49,G100,0.022541639
G5,G100,0.028528793
G50,G100,0.013306777
G51,G100,0.037895333
G52,G100,0.022919066
G53,G100,0.032770904
G54,G100,0.024667331
G55,G100,0.101086907
G56,G100,0.01669915
G57,G100,0.021668883
G58,G100,0.028609329
G59,G100,0.024092847
G6,G100,0.012834606
G60,G100,0.048717675
G61,G100,0.065242983
G62,G100,0.072276976
G63,G100,0.030509812
G64,G100,0.016529695
G65,G100,0.017759788
G66,G100,0.018121666
G67,G100,0.055697378
G68,G100,0.017089974
G69,G100,0.031946292
G7,G100,0.02001769
G70,G100,0.02881311
G71,G100,0.04435038
G72,G100,0.060799297
G73,G100,0.056594016
G74,G100,0.161613355
G75,G100,0.028928054
G76,G100,0.016625177
G77,G100,0.023922396
G78,G100,0.023235385
G79,G100,0.023968646
G8,G100,0.057489261
G80,G100,0.036101635
G81,G100,0.025738772
G82,G100,0.063323807
G83,G100,0.033870033
G84,G100,0.0238969
G85,G100,0.049117141
G86,G100,0.02405129
G87,G100,0.03910427
G88,G100,0.024006263
G89,G100,0.031518173
G9,G100,0.056318244
G90,G100,0.021103009
G91,G100,0.015980557
G92,G100,0.022896449
G93,G100,0.048391071
G94,G100,0.037234586
G95,G100,0.030387878
G96,G100,0.019922055
G97,G100,0.022639379
G98,G100,0.026177351
G99,G100,0.040299139
G1,G11,0.026895441
G10,G11,0.039310251
G100,G11,0.025195338
G12,G11,0.026997844
G13,G11,0.015165977
G14,G11,0.05223261
G15,G11,0.031178005
G16,G11,0.014609443
G17,G11,0.025034121
G18,G11,0.025405514
G19,G11,0.031834375
G2,G11,0.010834583
G20,G11,0.030657902
G21,G11,0.034306743
G22,G11,0.02509084
G23,G11,0.045322771
G24,G11,0.029675555
G25,G11,0.02271746
G26,G11,0.02650159
G27,G11,0.022528542
G28,G11,0.012099872
G29,G11,0.051913568
G3,G11,0.025841966
G30,G11,0.023042377
G31,G11,0.029772271
G32,G11,0.027517299
G33,G11,0.060236751
G34,G11,0.023550904
G35,G11,0.039821883
G36,G11,0.037526634
G37,G11,0.03543564
G38,G11,0.024699
G39,G11,0.035075857
G4,G11,0.016472524
G40,G11,0.059138724
G41,G11,0.014936795
G42,G11,0.031562896
G43,G11,0.037995143
G44,G11,0.028966368
G45,G11,0.036698417
G46,G11,0.026237102
G47,G11,0.02262427
G48,G11,0.412927377
G49,G11,0.034741675
G5,G11,0.020187363
G50,G11,0.068256308
G51,G11,0.086472918
G52,G11,0.028473744
G53,G11,0.040890872
G54,G11,0.03495532
G55,G11,0.036393502
G56,G11,0.017480656
G57,G11,0.059392316
G58,G11,0.094588991
G59,G11,0.019800178
G6,G11,0.023854698
G60,G11,0.014806214
G61,G11,0.024976673
G62,G11,0.021456232
G63,G11,0.022026146
G64,G11,0.018141495
G65,G11,0.016887648
G66,G11,0.034322382
G67,G11,0.018711925
G68,G11,0.023104669
G69,G11,0.031389258
G7,G11,0.025088799
G70,G11,0.147857961
G71,G11,0.039038763
G72,G11,0.016248049
G73,G11,0.034426771
G74,G11,0.033621386
G75,G11,0.023234808
G76,G11,0.023224903
G77,G11,0.023898672
G78,G11,0.017390942
G79,G11,0.013743208
G8,G11,0.048134519
G80,G11,0.014299564
G81,G11,0.108231181
G82,G11,0.377907752
G83,G11,0.011840228
G84,G11,0.016510465
G85,G11,0.050445367
G86,G11,0.027623488
G87,G11,0.040486086
G88,G11,0.231982977
G89,G11,0.007960074
G9,G11,0.141314492
G90,G11,0.02764096
G91,G11,0.018839605
G92,G11,0.018090049
G93,G11,0.0103186
G94,G11,0.018829046
G95,G11,0.021625574
G96,G11,0.022510509
G97,G11,0.034902705
G98,G11,0.016257804
G99,G11,0.044559936
G1,G12,0.016159958
G10,G12,0.029965337
G100,G12,0.038403081
G11,G12,0.034787624
G13,G12,0.012124223
G14,G12,0.036707083
G15,G12,0.054568058
G16,G12,0.028340483
G17,G12,0.01671451
G18,G12,0.025371924
G19,G12,0.057997112
G2,G12,0.023718909
G20,G12,0.053554756
G21,G12,0.050625046
G22,G12,0.029805168
G23,G12,0.029662824
G24,G12,0.045740211
G25,G12,0.041869451
G26,G12,0.0452305
G27,G12,0.033843977
G28,G12,0.045644054
G29,G12,0.029544311
G3,G12,0.018187007
G30,G12,0.02272514
G31,G12,0.047761692
G32,G12,0.039065606
G33,G12,0.030120699
G34,G12,0.024838344
G35,G12,0.019785146
G36,G12,0.14035976
G37,G12,0.048969597
G38,G12,0.033958473
G39,G12,0.035592147
G4,G12,0.021557253
G40,G12,0.031440074
G41,G12,0.018742
G42,G12,0.038865228
G43,G12,0.028761552
G44,G12,0.142001246
G45,G12,0.033659267
G46,G12,0.047718956
G47,G12,0.024651619
G48,G12,0.048430211
G49,G12,0.119866435
G5,G12,0.030847273
G50,G12,0.031416057
G51,G12,0.056182549
G52,G12,0.024250671
G53,G12,0.229944855
G54,G12,0.034137999
G55,G12,0.035435686
G56,G12,0.031829088
G57,G12,0.033254237
G58,G12,0.017428511
G59,G12,0.055267174
G6,G12,0.024441872
G60,G12,0.01520221
G61,G12,0.02051629
G62,G12,0.073554347
G63,G12,0.043944026
G64,G12,0.029437976
G65,G12,0.033511727
G66,G12,0.02294227
G67,G12,0.04621929
G68,G12,0.07214352
G69,G12,0.035681898
G7,G12,0.025611482
G70,G12,0.036538812
G71,G12,0.05688294
G72,G12,0.025185173
G73,G12,0.080864106
G74,G12,0.082130922
G75,G12,0.020809752
G76,G12,0.009568342
G77,G12,0.08385367
G78,G12,0.023265847
G79,G12,0.032968123
G8,G12,0.033368655
G80,G12,0.023148997
G81,G12,0.101908035
G82,G12,0.111732687
G83,G12,0.023234375
G84,G12,0.015814975
G85,G12,0.06256694
G86,G12,0.016122645
G87,G12,0.026846326
G88,G12,0.034962368
G89,G12,0.021315354
G9,G12,0.052700574
G90,G12,0.019391265
G91,G12,0.015450425
G92,G12,0.022369584
G93,G12,0.023728759
G94,G12,0.019070535
G95,G12,0.019425962
G96,G12,0.019014539
G97,G12,0.076538788
G98,G12,0.025159701
G99,G12,0.035355192
G1,G13,0.023740127
G10,G13,0.036339606
G100,G13,0.051584772
G11,G13,0.037367444
G12,G13,0.017405821
G14,G13,0.024675205
G15,G13,0.044690894
G16,G13,0.054660882
G17,G13,0.026009514
G18,G13,0.038631769
G19,G13,0.036808272
G2,G13,0.054630199
G20,G13,0.050240714
G21,G13,0.05622616
G22,G13,0.077625626
G23,G13,0.011344759
G24,G13,0.017519024
G25,G13,0.028847416
G26,G13,0.045489026
G27,G13,0.039204815
G28,G13,0.026503283
G29,G13,0.128682163
G3,G13,0.043199703
G30,G13,0.020583211
G31,G13,0.028142575
G32,G13,0.042361884
G33,G13,0.029460906
G34,G13,0.021533555
G35,G13,0.019071811
G36,G13,0.022150406
G37,G13,0.043702844
G38,G13,0.038172632
G39,G13,0.055153262
G4,G13,0.039287642
G40,G13,0.018770991
G41,G13,0.022239338
G42,G13,0.019610776
G43,G13,0.018920421
G44,G13,0.04304521
G45,G13,0.034118223
G46,G13,0.018161389
G47,G13,0.018272994
G48,G13,0.02757256
G49,G13,0.035518387
G5,G13,0.032487491
G50,G13,0.01649638
G51,G13,0.071960023
G52,G13,0.181733345
G53,G13,0.024830215
G54,G13,0.014707405
G55,G13,0.019250702
G56,G13,0.03649685
G57,G13,0.034921411
G58,G13,0.062193778
G59,G13,0.02700454
G6,G13,0.034842328
G60,G13,0.042361791
G61,G13,0.024224975
G62,G13,0.039494692
G63,G13,0.051425838
G64,G13,0.021332672
G65,G13,0.070918139
G66,G13,0.053319483
G67,G13,0.020625531
G68,G13,0.1014978
G69,G13,0.046761326
G7,G13,0.06027999
G70,G13,0.035819177
G71,G13,0.046123515
G72,G13,0.022936376
G73,G13,0.026712156
G74,G13,0.040147211
G75,G13,0.034104637
G76,G13,0.018885126
G77,G13,0.010609805
G78,G13,0.037078857
G79,G13,0.046731234
G8,G13,0.073361693
G80,G13,0.026081873
G81,G13,0.049435993
G82,G13,0.081292674
G83,G13,0.034013813
G84,G13,0.01589815
G85,G13,0.066678664
G86,G13,0.033585234
G87,G13,0.016626122
G88,G13,0.034597854
G89,G13,0.025497613
G9,G13,0.134312067
G90,G13,0.069144213
G91,G13,0.035083859
G92,G13,0.110152199
G93,G13,0.031361833
G94,G13,0.035814136
G95,G13,0.039271395
G96,G13,0.031138869
G97,G13,0.013936454
G98,G13,0.077509731
G99,G13,0.047123485
G1,G14,0.046751878
G10,G14,0.02657385
G100,G14,0.042178802
G11,G14,0.086639923
G12,G14,0.065668365
G13,G14,0.028992541
G15,G14,0.081026559
G16,G14,0.073313089
G17,G14,0.028264554
G18,G14,0.015585992
G19,G14,0.098405605
G2,G14,0.034085705
G20,G14,0.035944113
G21,G14,0.055039042
G22,G14,0.02067551
G23,G14,0.046017303
G24,G14,0.026423614
G25,G14,0.062871884
G26,G14,0.039668827
G27,G14,0.027381035
G28,G14,0.019285133
G29,G14,0.039632511
G3,G14,0.031210754
G30,G14,0.040359967
G31,G14,0.032080953
G32,G14,0.039251076
G33,G14,0.016990017
G34,G14,0.069390176
G35,G14,0.042386108
G36,G14,0.024780157
G37,G14,0.044427345
G38,G14,0.054417988
G39,G14,0.038471223
G4,G14,0.025720135
G40,G14,0.021057664
G41,G14,0.04917094
G42,G14,0.032422966
G43,G14,0.040853487
G44,G14,0.030756696
G45,G14,0.054100063
G46,G14,0.0156288
G47,G14,0.049193886
G48,G14,0.05384355
G49,G14,0.057978955
G5,G14,0.056418296
G50,G14,0.037200546
G51,G14,0.057777145
G52,G14,0.027371052
G53,G14,0.054378556
G54,G14,0.0272332
G55,G14,0.048642104
G56,G14,0.030031908
G57,G14,0.026781403
G58,G14,0.035161917
G59,G14,0.029468773
G6,G14,0.026918166
G60,G14,0.027954397
G61,G14,0.032905834
G62,G14,0.025577492
G63,G14,0.031709332
G64,G14,0.026943418
G65,G14,0.024346691
G66,G14,0.030160821
G67,G14,0.045444179
G68,G14,0.030576967
G69,G14,0.046956655
G7,G14,0.027367233
G70,G14,0.039189566
G71,G14,0.066529955
G72,G14,0.038320447
G73,G14,0.053277088
G74,G14,0.031178312
G75,G14,0.027493624
G76,G14,0.05688982
G77,G14,0.022183278
G78,G14,0.027032425
G79,G14,0.05396441
G8,G14,0.058228313
G80,G14,0.02915255
G81,G14,0.025003423
G82,G14,0.056817011
G83,G14,0.034137321
G84,G14,0.02045644
G85,G14,0.068284199
G86,G14,0.018513189
G87,G14,0.077086378
G88,G14,0.044432579
G89,G14,0.028699704
G9,G14,0.093656583
G90,G14,0.02823531
G91,G14,0.078032835
G92,G14,0.02778112
G93,G14,0.033677809
G94,G14,0.022568768
G95,G14,0.024311784
G96,G14,0.091347736
G97,G14,0.027452901
G98,G14,0.015358802
G99,G14,0.040054362
G1,G15,0.013344003
G10,G15,0.227737944
G100,G15,0.132550772
G11,G15,0.025067119
G12,G15,0.028987234
G13,G15,0.014564145
G14,G15,0.031786264
G16,G15,0.032787792
G17,G15,0.02630091
G18,G15,0.009174438
G19,G15,0.029733226
G2,G15,0.027669215
G20,G15,0.040548509
G21,G15,0.216707749
G22,G15,0.045063002
G23,G15,0.007065602
G24,G15,0.010000228
G25,G15,0.095562262
G26,G15,0.032392307
G27,G15,0.012117145
G28,G15,0.016737602
G29,G15,0.350029885
G3,G15,0.019421173
G30,G15,0.061845552
G31,G15,0.02621432
G32,G15,0.028582691
G33,G15,0.008177311
G34,G15,0.007711812
G35,G15,0.013698719
G36,G15,0.018195873
G37,G15,0.133699289
G38,G15,0.085208848
G39,G15,0.037746557
G4,G15,0.015164636
G40,G15,0.013779942
G41,G15,0.026645691
G42,G15,0.015899908
G43,G15,0.022742499
G44,G15,0.013733043
G45,G15,0.056199325
G46,G15,0.031778179
G47,G15,0.008283369
G48,G15,0.063103946
G49,G15,0.025275368
G5,G15,0.02535687
G50,G15,0.012941257
G51,G15,0.05684275
G52,G15,0.012411262
G53,G15,0.11376244
G54,G15,0.006991754
G55,G15,0.131452495
G56,G15,0.012325108
G57,G15,0.012184662
G58,G15,0.019885076
G59,G15,0.021374804
G6,G15,0.004677172
G60,G15,0.019633314
G61,G15,0.010587792
G62,G15,0.021633729
G63,G15,0.061544261
G64,G15,0.016630939
G65,G15,0.015963153
G66,G15,0.003986976
G67,G15,0.025271767
G68,G15,0.043385059
G69,G15,0.139756522
G7,G15,0.039910467
G70,G15,0.045637149
G71,G15,0.081420948
G72,G15,0.019274305
G73,G15,0.033938852
G74,G15,0.073587142
G75,G15,0.019382629
G76,G15,0.005895046
G77,G15,0.045707606
G78,G15,0.010805893
G79,G15,0.025923411
G8,G15,0.034844429
G80,G15,0.024014797
G81,G15,0.023068549
G82,G15,0.04538939
G83,G15,0.014434081
G84,G15,0.030586801
G85,G15,0.197525945
G86,G15,0.010597168
G87,G15,0.02718402
G88,G15,0.014937441
G89,G15,0.04979886
G9,G15,0.040657685
G90,G15,0.010247515
G91,G15,0.01021836
G92,G15,0.019695517
G93,G15,0.015641823
G94,G15,0.019266571
G95,G15,0.016607249
G96,G15,0.017179615
G97,G15,0.012806213
G98,G15,0.017715861
G99,G15,0.028473846
G1,G16,0.017719367
G10,G16,0.154688436
G100,G16,0.031412324
G11,G16,0.034232088
G12,G16,0.0350872
G13,G16,0.051995556
G14,G16,0.041407299
G15,G16,0.088751186
G17,G16,0.032826905
G18,G16,0.026338293
G19,G16,0.017722193
G2,G16,0.037379442
G20,G16,0.043182117
G21,G16,0.08464675
G22,G16,0.026431548
G23,G16,0.026170411
G24,G16,0.02592135
G25,G16,0.043111831
G26,G16,0.047118943
G27,G16,0.030860389
G28,G16,0.027972751
G29,G16,0.0752975
G3,G16,0.024694074
G30,G16,0.029134433
G31,G16,0.032940579
G32,G16,0.051758644
G33,G16,0.030499624
G34,G16,0.042707188
G35,G16,0.030004855
G36,G16,0.033981773
G37,G16,0.062204915
G38,G16,0.033891953
G39,G16,0.043052711
G4,G16,0.016997019
G40,G16,0.051584402
G41,G16,0.031753382
G42,G16,0.024118328
G43,G16,0.029022029
G44,G16,0.03571324
G45,G16,0.041812722
G46,G16,0.058483715
G47,G16,0.024898411
G48,G16,0.063186811
G49,G16,0.025099667
G5,G16,0.031168133
G50,G16,0.027845717
G51,G16,0.051233148
G52,G16,0.128145394
G53,G16,0.047909543
G54,G16,0.020971253
G55,G16,0.055950765
G56,G16,0.025750487
G57,G16,0.020435214
G58,G16,0.023737892
G59,G16,0.031424887
G6,G16,0.02090584
G60,G16,0.033311953
G61,G16,0.054681966
G62,G16,0.208262556
G63,G16,0.068215083
G64,G16,0.028684455
G65,G16,0.023439324
G66,G16,0.039599923
G67,G16,0.065113271
G68,G16,0.033236352
G69,G16,0.059612782
G7,G16,0.072625692
G70,G16,0.052469987
G71,G16,0.059083745
G72,G16,0.025986058
G73,G16,0.025169567
G74,G16,0.033857206
G75,G16,0.02915063
G76,G16,0.029366938
G77,G16,0.014765567
G78,G16,0.038900887
G79,G16,0.019164428
G8,G16,0.035999409
G80,G16,0.015760267
G81,G16,0.027816313
G82,G16,0.087930172
G83,G16,0.017528757
G84,G16,0.030041658
G85,G16,0.061433195
G86,G16,0.042351707
G87,G16,0.037196237
G88,G16,0.022019875
G89,G16,0.053330572
G9,G16,0.038232114
G90,G16,0.029921968
G91,G16,0.031430704
G92,G16,0.015568074
G93,G16,0.030662214
G94,G16,0.022579518
G95,G16,0.043277465
G96,G16,0.017900067
G97,G16,0.025644873
G98,G16,0.017525859
G99,G16,0.072209071
G1,G17,0.031480619
G10,G17,0.037714216
G100,G17,0.029759106
G11,G17,0.040804999
G12,G17,0.022462739
G13,G17,0.032270377
G14,G17,0.029029252
G15,G17,0.062209325
G16,G17,0.045157524
G18,G17,0.044346076
G19,G17,0.027272488
G2,G17,0.029597793
G20,G17,0.074369602
G21,G17,0.042970327
G22,G17,0.037326879
G23,G17,0.019402099
G24,G17,0.024610707
G25,G17,0.08523783
G26,G17,0.04284019
G27,G17,0.040200913
G28,G17,0.024044756
G29,G17,0.047763731
G3,G17,0.033602289
G30,G17,0.0225013
G31,G17,0.091597311
G32,G17,0.030432722
G33,G17,0.020294992
G34,G17,0.040386888
G35,G17,0.031445727
G36,G17,0.045432086
G37,G17,0.024643448
G38,G17,0.12731116
G39,G17,0.048867711
G4,G17,0.035099735
G40,G17,0.028125269
G41,G17,0.05026941
G42,G17,0.033221026
G43,G17,0.012921259
G44,G17,0.069609726
G45,G17,0.023610027
G46,G17,0.02404855
G47,G17,0.032465416
G48,G17,0.042926094
G49,G17,0.031873943
G5,G17,0.033265891
G50,G17,0.023045148
G51,G17,0.06879215
G52,G17,0.037323607
G53,G17,0.05568974
G54,G17,0.020329167
G55,G17,0.0311823
G56,G17,0.067641558
G57,G17,0.028850385
G58,G17,0.030329871
G59,G17,0.029536577
G6,G17,0.025439192
G60,G17,0.064306655
G61,G17,0.031010494
G62,G17,0.034585692
G63,G17,0.027316803
G64,G17,0.010981875
G65,G17,0.020957927
G66,G17,0.035969989
G67,G17,0.03201283
G68,G17,0.02693237
G69,G17,0.053717645
G7,G17,0.238373639
G70,G17,0.039066781
G71,G17,0.031371025
G72,G17,0.037833481
G73,G17,0.042320346
G74,G17,0.080645258
G75,G17,0.018391961
G76,G17,0.014575024
G77,G17,0.047576294
G78,G17,0.042323874
G79,G17,0.048021293
G8,G17,0.039811405
G80,G17,0.02557922
G81,G17,0.016728268
G82,G17,0.093110303
G83,G17,0.03601133
G84,G17,0.018436305
G85,G17,0.036942536
G86,G17,0.019565212
G87,G17,0.038821102
G88,G17,0.043950273
G89,G17,0.123385675
G9,G17,0.053736258
G90,G17,0.051264804
G91,G17,0.030707264
G92,G17,0.023179466
G93,G17,0.018237096
G94,G17,0.032927099
G95,G17,0.049506575
G96,G17,0.030653544
G97,G17,0.025744137
G98,G17,0.026227396
G99,G17,0.038357966
G1,G18,0.023613558
G10,G18,0.036731305
G100,G18,0.037583085
G11,G18,0.031820796
G12,G18,0.027155396
G13,G18,0.026772074
G14,G18,0.009850131
G15,G18,0.042642731
G16,G18,0.019911345
G17,G18,0.048137239
G19,G18,0.014717636
G2,G18,0.03740797
G20,G18,0.036406143
G21,G18,0.038973312
G22,G18,0.173601412
G23,G18,0.017607405
G24,G18,0.026469425
G25,G18,0.020463916
G26,G18,0.054979771
G27,G18,0.054563598
G28,G18,0.03026067
G29,G18,0.066357664
G3,G18,0.017848682
G30,G18,0.042014878
G31,G18,0.035830832
G32,G18,0.034121555
G33,G18,0.022489383
G34,G18,0.027537392
G35,G18,0.03047984
G36,G18,0.045219532
G37,G18,0.036955608
G38,G18,0.045431773
G39,G18,0.039086938
G4,G18,0.031193037
G40,G18,0.03969178
G41,G18,0.033120789
G42,G18,0.037514504
G43,G18,0.022879355
G44,G18,0.017863122
G45,G18,0.019840796
G46,G18,0.025647549
G47,G18,0.029674063
G48,G18,0.03159754
G49,G18,0.080221851
G5,G18,0.032839328
G50,G18,0.039209605
G51,G18,0.053012772
G52,G18,0.028170757
G53,G18,0.028625747
G54,G18,0.017355261
G55,G18,0.033121621
G56,G18,0.022591779
G57,G18,0.042442261
G58,G18,0.020799354
G59,G18,0.107207992
G6,G18,0.019386551
G60,G18,0.036842309
G61,G18,0.014100905
G62,G18,0.024157557
G63,G18,0.021264805
G64,G18,0.042413533
G65,G18,0.039414994
G66,G18,0.040243682
G67,G18,0.018780368
G68,G18,0.024547336
G69,G18,0.041468266
G7,G18,0.558952519
G70,G18,0.056253961
G71,G18,0.062403724
G72,G18,0.036890736
G73,G18,0.014732976
G74,G18,0.031665232
G75,G18,0.018827913
G76,G18,0.024493833
G77,G18,0.026835626
G78,G18,0.025799591
G79,G18,0.050632074
G8,G18,0.0360728
G80,G18,0.026276858
G81,G18,0.018295747
G82,G18,0.058490704
G83,G18,0.016175425
G84,G18,0.016151725
G85,G18,0.033423605
G86,G18,0.028254859
G87,G18,0.020685683
G88,G18,0.045271227
G89,G18,0.081739537
G9,G18,0.04554222
G90,G18,0.024670688
G91,G18,0.012806588
G92,G18,0.038012788
G93,G18,0.06178718
G94,G18,0.02756392
G95,G18,0.017132724
G96,G18,0.025662288
G97,G18,0.016221024
G98,G18,0.100576757
G99,G18,0.035375885
G1,G19,0.043327985
G10,G19,0.019700339
G100,G19,0.038222885
G11,G19,0.05810745
G12,G19,0.090247298
G13,G19,0.029786158
G14,G19,0.106423583
G15,G19,0.114646289
G16,G19,0.025802395
G17,G19,0.030802348
G18,G19,0.022534725
G2,G19,0.035490852
G20,G19,0.053886581
G21,G19,0.060856351
G22,G19,0.055645118
G23,G19,0.044016863
G24,G19,0.043484853
G25,G19,0.039798588
G26,G19,0.047419812
G27,G19,0.046846435
G28,G19,0.08335366
G29,G19,0.046758494
G3,G19,0.028719485
G30,G19,0.032007349
G31,G19,0.041113081
G32,G19,0.062526447
G33,G19,0.027650782
G34,G19,0.032128087
G35,G19,0.008984789
G36,G19,0.025916805
G37,G19,0.037472097
G38,G19,0.027726876
G39,G19,0.0356022
G4,G19,0.034081565
G40,G19,0.034222716
G41,G19,0.077100921
G42,G19,0.032468839
G43,G19,0.027392995
G44,G19,0.031634817
G45,G19,0.02712412
G46,G19,0.0288641
G47,G19,0.022018433
G48,G19,0.049850338
G49,G19,0.038216343
G5,G19,0.029133765
G50,G19,0.023068722
G51,G19,0.094446318
G52,G19,0.026269919
G53,G19,0.039887288
G54,G19,0.052883861
G55,G19,0.049073394
G56,G19,0.038965901
G57,G19,0.023700537
G58,G19,0.012897897
G59,G19,0.064347524
G6,G19,0.025088263
G60,G19,0.016482797
G61,G19,0.033781445
G62,G19,0.02733988
G63,G19,0.027881753
G64,G19,0.065001915
G65,G19,0.020274868
G66,G19,0.028059142
G67,G19,0.019919053
G68,G19,0.036531558
G69,G19,0.048749438
G7,G19,0.058212404
G70,G19,0.041356102
G71,G19,0.066944712
G72,G19,0.037585796
G73,G19,0.040402279
G74,G19,0.037817313
G75,G19,0.13487325
G76,G19,0.059248965
G77,G19,0.0261111
G78,G19,0.031215593
