source,target,value
G8,G60,0.060471
G11,G86,0.06006
G72,G2,0.059705
G55,G53,0.059647
G87,G97,0.059575
G25,G100,0.059
G32,G74,0.057567
G55,G10,0.057047
G72,G96,0.05683
G62,G52,0.056739
G33,G89,0.056515
G73,G4,0.05554
G48,G15,0.055505
G55,G69,0.055503
G49,G62,0.055308
G5,G98,0.055249
G37,G69,0.054816
G85,G89,0.054306
G100,G10,0.054274
G9,G44,0.054252
G83,G29,0.054118
G97,G87,0.053921
G25,G10,0.053843
G73,G39,0.053475
G39,G49,0.05347
G94,G65,0.053408
G11,G100,0.053368
G71,G29,0.053292
G63,G46,0.052691
G19,G14,0.052476
G47,G35,0.052096
G21,G54,0.051956
G85,G69,0.051929
G55,G30,0.051806
G25,G69,0.051805
G36,G98,0.051793
G32,G23,0.051735
G59,G97,0.051728
G48,G74,0.051522
G14,G19,0.051384
G44,G12,0.051383
G78,G33,0.051068
G36,G12,0.051008
G78,G91,0.051005
G22,G5,0.050558
G44,G76,0.050547
G100,G69,0.050461
G63,G53,0.050307
G48,G90,0.050304
G49,G31,0.05023
G83,G42,0.050166
G87,G14,0.050088
G45,G100,0.050045
G51,G76,0.049941
G11,G58,0.049914
G61,G23,0.048301
G48,G16,0.048171
G41,G64,0.048144
G27,G56,0.048002
G6,G79,0.047574
G51,G65,0.047248
G98,G36,0.046982
G83,G36,0.046831
G49,G12,0.046795
G4,G92,0.046771
G100,G45,0.046715
G9,G100,0.046594
G64,G6,0.046586
G53,G15,0.046446
G92,G75,0.046123
G80,G78,0.046103
G70,G51,0.045964
G75,G91,0.045793
G100,G29,0.045766
G37,G89,0.045065
G45,G30,0.044881
G45,G64,0.044833
G100,G74,0.044727
G94,G33,0.044718
G52,G62,0.044717
G15,G89,0.044563
G97,G23,0.044448
G97,G54,0.04438
G70,G99,0.04422
G25,G87,0.044204
G22,G53,0.044175
G84,G22,0.044145
G45,G4,0.043934
G66,G54,0.04377
G14,G73,0.043756
G85,G55,0.043651
G53,G80,0.043424
G11,G24,0.043394
G3,G83,0.043302
G75,G30,0.043296
G56,G76,0.043208
G15,G69,0.042946
G21,G15,0.042929
G53,G36,0.042886
G51,G9,0.042832
G38,G17,0.04283
G68,G84,0.042803
G48,G100,0.042734
G56,G4,0.04271
G89,G2,0.042636
G69,G25,0.042397
G48,G25,0.042173
G7,G26,0.042054
G4,G90,0.04205
G1,G96,0.041978
G32,G45,0.041849
G28,G41,0.041834
G95,G45,0.041795
G14,G76,0.041451
G47,G92,0.041435
G97,G89,0.041319
G65,G13,0.041251
G9,G74,0.041191
G10,G55,0.040806
G75,G19,0.040589
G92,G25,0.040457
G85,G15,0.040423
G19,G96,0.040398
G5,G86,0.040339
G67,G87,0.040133
G14,G42,0.04013
G74,G100,0.040037
G31,G28,0.039998
G22,G18,0.039993
G71,G89,0.039938
G25,G47,0.039742
G87,G74,0.039723
G70,G59,0.039658
G21,G10,0.039619
G41,G61,0.03959
G85,G100,0.039509
G71,G69,0.039468
G49,G47,0.039346
G91,G78,0.038834
G41,G86,0.038635
G2,G72,0.038233
G82,G71,0.03821
G29,G15,0.038184
G20,G80,0.038174
G24,G81,0.038038
G10,G15,0.037853
G45,G62,0.037849
G45,G23,0.03784
G15,G10,0.037658
G23,G54,0.037584
G24,G62,0.037543
G59,G91,0.037487
G53,G64,0.03747
G93,G53,0.037332
G48,G30,0.037295
G82,G99,0.037276
G39,G30,0.03719
G41,G91,0.037004
G59,G40,0.036889
G32,G51,0.036828
G26,G53,0.036802
G98,G84,0.036635
G12,G19,0.036554
G74,G45,0.036177
G8,G79,0.036176
G6,G64,0.035624
G46,G5,0.035618
G20,G36,0.035565
G11,G74,0.035405
G85,G21,0.035398
G73,G5,0.035387
G2,G32,0.035293
G37,G21,0.035262
G11,G35,0.035083
G6,G76,0.035067
G42,G47,0.034975
G15,G74,0.034847
G35,G73,0.034773
G7,G28,0.034738
G87,G23,0.034714
G16,G10,0.034668
G16,G45,0.034648
G70,G11,0.03458
G34,G77,0.034566
G11,G45,0.034466
G49,G36,0.034439
G45,G49,0.034387
G43,G86,0.034083
G54,G55,0.033819
G66,G41,0.033724
G18,G98,0.033693
G48,G87,0.033667
G29,G95,0.033635
G30,G64,0.033616
G93,G91,0.033596
G57,G30,0.033587
G47,G1,0.033534
G19,G76,0.033509
G2,G89,0.033444
G20,G79,0.033366
G84,G15,0.033309
G17,G25,0.033307
G56,G7,0.033283
G64,G30,0.033222
G69,G60,0.03322
G30,G96,0.032998
G19,G28,0.032964
G22,G84,0.032859
G25,G92,0.032852
G55,G88,0.032827
G17,G7,0.032777
G70,G35,0.032646
G78,G43,0.032616
G45,G1,0.032567
G37,G16,0.032523
G58,G24,0.032501
G39,G5,0.032401
G72,G45,0.032392
G89,G16,0.03237
G18,G65,0.032238
G43,G89,0.032128
G62,G80,0.032039
G41,G4,0.031891
G81,G27,0.031866
G19,G75,0.031847
G78,G22,0.031732
G5,G73,0.031655
G71,G35,0.031642
G27,G78,0.031541
G43,G95,0.031501
G10,G69,0.031361
G35,G24,0.031195
G56,G28,0.031181
G40,G34,0.031127
G86,G43,0.031073
G87,G25,0.031057
G90,G71,0.030997
G25,G45,0.030829
G62,G21,0.030814
G32,G100,0.030767
G32,G2,0.030733
G41,G60,0.030716
G29,G93,0.030699
G15,G38,0.030659
G14,G96,0.030644
G71,G19,0.030632
G11,G40,0.030604
G46,G86,0.030471
G27,G68,0.030466
G15,G21,0.030305
G100,G37,0.030289
G11,G88,0.03022
G20,G6,0.0302
G82,G41,0.030112
G58,G13,0.030087
G32,G29,0.029908
G69,G15,0.029869
G72,G87,0.02984
G21,G55,0.029752
G99,G88,0.029701
G95,G93,0.029685
G35,G42,0.029633
G90,G84,0.029626
G52,G91,0.029599
G51,G53,0.029587
G56,G26,0.02948
G45,G21,0.029431
G43,G1,0.029411
G28,G12,0.029363
G30,G75,0.029342
G95,G79,0.029271
G89,G10,0.029207
G94,G96,0.029205
G50,G99,0.029172
G76,G56,0.028996
G71,G72,0.028981
G62,G49,0.02885
G3,G52,0.028763
G59,G87,0.028761
G29,G41,0.028745
G85,G93,0.02874
G58,G59,0.028661
G76,G6,0.02858
G21,G89,0.028577
G78,G27,0.028528
G47,G97,0.028438
G77,G93,0.028356
G29,G13,0.028125
G39,G79,0.028036
G21,G66,0.028009
G57,G84,0.027966
G85,G10,0.027925
G80,G28,0.027896
G27,G44,0.027857
G25,G80,0.027823
G47,G42,0.027758
G55,G15,0.027738
G96,G73,0.027662
G62,G74,0.027554
G99,G36,0.027359
G65,G4,0.02726
G4,G50,0.027219
G13,G58,0.027186
G2,G91,0.027159
G96,G79,0.027077
G95,G100,0.027055
G50,G80,0.027023
G42,G94,0.026975
G25,G90,0.026895
G26,G1,0.026881
G71,G65,0.026824
G1,G3,0.026815
G91,G2,0.026748
G46,G23,0.026715
G100,G21,0.026709
G13,G52,0.026619
G83,G77,0.026608
G74,G50,0.026597
G20,G4,0.026368
G81,G12,0.026366
G54,G97,0.026357
G22,G37,0.026348
G52,G13,0.026311
G89,G38,0.026259
G70,G32,0.026243
G97,G12,0.026174
G28,G87,0.02615
G32,G53,0.026122
G31,G63,0.026028
G48,G35,0.026017
G46,G33,0.026001
G9,G95,0.025998
G62,G55,0.02599
G24,G23,0.025937
G4,G56,0.025923
G57,G9,0.025918
G68,G12,0.025893
G78,G17,0.0258
G7,G24,0.025741
G38,G51,0.025736
G71,G10,0.0257
G86,G5,0.025659
G48,G45,0.025642
G90,G19,0.025594
G17,G95,0.025577
G83,G60,0.025552
G77,G35,0.02555
G64,G44,0.025469
G39,G54,0.025458
G92,G61,0.02544
G72,G65,0.025439
G16,G53,0.025414
G23,G75,0.025348
G26,G76,0.025322
G100,G85,0.025298
G26,G58,0.025291
G96,G2,0.02529
G90,G65,0.025195
G6,G5,0.02517
G16,G41,0.025119
G1,G42,0.02506
G82,G4,0.02504
G82,G40,0.025018
G83,G30,0.024959
G81,G91,0.02485
G29,G98,0.0248
G47,G58,0.024794
G90,G4,0.024793
G93,G29,0.024772
G98,G18,0.024716
G77,G12,0.024703
G77,G17,0.024693
G39,G44,0.024646
G52,G78,0.024549
G98,G73,0.024517
G62,G78,0.024483
G61,G92,0.024476
G21,G45,0.024459
G47,G66,0.024455
G63,G65,0.024374
G49,G45,0.024359
G31,G50,0.024289
G2,G13,0.024288
G32,G85,0.024255
G20,G5,0.024244
G11,G1,0.024237
G67,G96,0.024228
G92,G19,0.024223
G100,G30,0.02419
G40,G83,0.024186
G48,G55,0.02418
G55,G96,0.024179
G66,G93,0.024173
G95,G62,0.024166
G9,G30,0.024166
G67,G43,0.024151
G53,G10,0.024104
G74,G12,0.024093
G96,G78,0.02408
G1,G23,0.024073
G90,G13,0.024027
G16,G29,0.024014
G96,G97,0.023994
G80,G23,0.023981
G86,G61,0.023981
G64,G35,0.023955
G49,G14,0.023952
G69,G55,0.023934
G91,G75,0.023886
G25,G17,0.023839
G56,G49,0.023806
G55,G21,0.023804
G64,G5,0.023784
G82,G46,0.023766
G69,G37,0.023723
G89,G91,0.0237
G10,G80,0.023696
G50,G91,0.023672
G67,G3,0.023582
G76,G66,0.02356
G25,G97,0.023476
G76,G22,0.023476
G99,G16,0.023471
G90,G17,0.023413
G32,G84,0.023407
G15,G22,0.023317
G52,G10,0.023255
G16,G14,0.023203
G14,G91,0.023177
G20,G60,0.023173
G78,G4,0.023153
G61,G65,0.023147
G40,G77,0.023146
G2,G100,0.023145
G7,G57,0.023133
G40,G98,0.023127
G60,G41,0.023051
G17,G56,0.023012
G97,G66,0.023006
G12,G44,0.022964
G56,G50,0.022959
G66,G76,0.022957
G58,G91,0.022893
G43,G54,0.022821
G53,G22,0.022771
G74,G77,0.022759
G21,G36,0.022758
G92,G40,0.02275
G37,G15,0.022685
G61,G50,0.022618
G68,G36,0.022607
G32,G90,0.02255
G29,G87,0.022529
G77,G64,0.022527
G22,G29,0.022505
G67,G56,0.022435
G38,G32,0.022434
G91,G68,0.022379
G32,G77,0.022376
G32,G65,0.022359
G20,G25,0.022358
G47,G78,0.022346
G88,G80,0.0223
G62,G56,0.022297
G10,G54,0.02228
G93,G95,0.022231
G94,G27,0.022212
G4,G75,0.022143
G15,G14,0.022134
G49,G11,0.022133
G16,G52,0.022126
G34,G14,0.02212
G35,G75,0.02209
G42,G12,0.022032
G22,G64,0.022024
G49,G6,0.022022
G20,G49,0.022002
G28,G19,0.021997
G7,G74,0.021989
G53,G21,0.021986
G8,G50,0.021963
G89,G97,0.021833
G12,G95,0.02182
G33,G98,0.021762
G38,G95,0.021714
G34,G91,0.021709
G37,G60,0.021651
G29,G42,0.021649
G9,G70,0.021638
G89,G54,0.02163
G70,G57,0.021604
G49,G1,0.021559
G73,G80,0.021556
G12,G55,0.02151
G21,G74,0.021502
G15,G19,0.021418
G99,G58,0.021418
G79,G44,0.021381
G82,G35,0.021342
G74,G99,0.021325
G36,G17,0.021295
G8,G4,0.021274
G91,G16,0.021176
G65,G28,0.021171
G29,G16,0.021153
G71,G47,0.02111
G12,G49,0.021104
G38,G24,0.021097
G77,G81,0.02108
G43,G14,0.021071
G47,G95,0.021055
G8,G41,0.021034
G70,G22,0.021033
G95,G17,0.021005
G29,G10,0.020999
G22,G28,0.02095
G34,G40,0.02094
G62,G30,0.020933
G27,G28,0.020884
G95,G30,0.020868
G63,G43,0.020866
G76,G49,0.020863
G48,G84,0.020844
G7,G56,0.020827
G61,G76,0.020749
G99,G2,0.020728
G59,G58,0.020712
G89,G36,0.02069
G46,G87,0.020685
G85,G16,0.020655
G76,G14,0.020641
G47,G91,0.020609
G24,G35,0.020603
G66,G57,0.020586
G52,G16,0.020578
G86,G64,0.020576
G48,G69,0.020523
G78,G96,0.020513
G73,G93,0.020509
G64,G20,0.020502
G5,G22,0.020486
G28,G56,0.020462
G33,G46,0.020456
G91,G14,0.020435
G89,G65,0.020402
G4,G58,0.020371
G58,G28,0.02037
G10,G33,0.020364
G44,G95,0.020362
G72,G84,0.020352
G92,G2,0.020342
G7,G37,0.020322
G13,G90,0.02031
G11,G30,0.020292
G100,G2,0.020265
G100,G84,0.020258
G82,G93,0.020205
G73,G42,0.020191
G73,G24,0.02019
G97,G59,0.020167
G52,G64,0.020153
G21,G97,0.020135
G39,G4,0.020122
G9,G50,0.020118
G55,G83,0.020094
G100,G43,0.020062
G78,G62,0.02006
G58,G66,0.020029
G74,G17,0.019992
G2,G74,0.019977
G36,G49,0.019974
G55,G1,0.019962
G60,G16,0.019952
G63,G27,0.019947
G96,G14,0.019902
G99,G13,0.019885
G39,G45,0.019836
G25,G14,0.019832
G52,G79,0.019816
G15,G17,0.019803
G88,G71,0.019795
G1,G87,0.019744
G58,G75,0.019725
G97,G78,0.019718
G52,G47,0.019678
G42,G96,0.01964
G18,G24,0.0196
G32,G21,0.019567
G22,G19,0.019542
G12,G46,0.019541
G91,G61,0.019539
G28,G91,0.019532
G59,G19,0.01951
G96,G5,0.019506
G58,G5,0.019478
G75,G35,0.019455
G19,G64,0.01945
G22,G15,0.019407
G3,G77,0.019381
G93,G4,0.019357
G53,G58,0.019346
G52,G76,0.019315
G41,G28,0.019273
G8,G45,0.019255
G40,G59,0.019247
G43,G76,0.019231
G5,G4,0.019227
G42,G5,0.019224
G35,G47,0.01922
G57,G96,0.019193
G50,G9,0.019159
G55,G73,0.019148
G45,G74,0.019131
G88,G59,0.019117
G4,G62,0.019112
G88,G2,0.0191
G33,G83,0.019073
G77,G66,0.01905
G19,G24,0.019044
G54,G85,0.019025
G66,G28,0.019012
G47,G14,0.018968
G55,G33,0.018934
G56,G46,0.01893
G7,G13,0.018909
G84,G10,0.018901
G11,G66,0.018884
G82,G32,0.01887
G44,G65,0.01886
G17,G77,0.018843
G89,G66,0.018839
G60,G4,0.018806
G35,G23,0.018806
G69,G47,0.01879
G72,G58,0.018786
G55,G77,0.018784
G25,G2,0.018769
G9,G11,0.018763
G65,G33,0.018756
G91,G6,0.018747
G69,G38,0.018693
G32,G5,0.018692
G11,G75,0.018683
G100,G19,0.018679
G14,G87,0.018671
G81,G65,0.018656
G80,G73,0.018592
G63,G25,0.01859
G80,G86,0.018584
G14,G41,0.018579
G17,G98,0.018571
G39,G60,0.018554
G18,G35,0.018541
G41,G14,0.018516
G68,G27,0.018498
G19,G12,0.018482
G29,G37,0.01848
G37,G6,0.018468
G11,G97,0.018466
G51,G49,0.018434
G30,G55,0.018429
G26,G37,0.018417
G93,G79,0.018396
G14,G23,0.018384
G94,G58,0.018378
G68,G6,0.018364
G82,G16,0.018364
G50,G28,0.018277
G24,G11,0.018253
G50,G5,0.018234
G88,G4,0.018218
G16,G46,0.018204
G70,G30,0.018194
G31,G94,0.018191
G51,G11,0.018174
G1,G43,0.018103
G65,G75,0.018102
G85,G25,0.018081
G27,G88,0.018073
G16,G3,0.018059
G56,G1,0.018037
G95,G74,0.018023
G44,G27,0.017983
G72,G59,0.017974
G60,G98,0.01795
G5,G96,0.017939
G28,G26,0.017928
G58,G78,0.01785
G85,G45,0.017848
G82,G8,0.017846
G53,G77,0.01784
G36,G2,0.017796
G64,G39,0.017782
G57,G82,0.017778
G79,G59,0.017744
G6,G97,0.017727
G79,G96,0.017711
G21,G100,0.017709
G56,G17,0.017698
G25,G55,0.01769
G39,G50,0.017688
G13,G84,0.017687
G89,G37,0.017683
G49,G83,0.017682
G59,G18,0.017681
G89,G18,0.017677
G37,G1,0.017677
G95,G78,0.017674
G27,G58,0.017655
G99,G90,0.017654
G35,G65,0.017642
G88,G24,0.017625
G78,G58,0.017587
G76,G61,0.017568
G63,G5,0.017559
G77,G34,0.017545
G80,G1,0.017527
G42,G34,0.017523
G71,G87,0.017514
G55,G78,0.017495
G66,G56,0.017482
G64,G41,0.017474
G2,G30,0.017473
G45,G83,0.017449
G5,G14,0.017446
G16,G61,0.017439
G22,G97,0.017427
G80,G25,0.017424
G30,G22,0.017411
G55,G16,0.017389
G55,G54,0.017383
G44,G20,0.01736
G44,G56,0.017342
G91,G89,0.017332
G10,G89,0.01731
G70,G48,0.017294
G36,G89,0.017274
G22,G78,0.017233
G43,G61,0.017217
G60,G84,0.017212
G3,G62,0.017186
G25,G56,0.017161
G24,G98,0.017159
G42,G43,0.017136
G17,G78,0.017127
G63,G84,0.017112
G78,G52,0.017103
G44,G32,0.017096
G93,G78,0.017081
G80,G10,0.017076
G81,G50,0.017064
G88,G77,0.017062
G22,G90,0.017058
G88,G1,0.017055
G51,G41,0.017039
G11,G79,0.017036
G79,G3,0.017005
G85,G5,0.016981
G50,G61,0.01697
G63,G10,0.016967
G41,G83,0.016954
G43,G78,0.016937
G49,G42,0.016935
G41,G69,0.016931
G78,G30,0.016915
G67,G25,0.01689
G42,G49,0.016888
G29,G43,0.016882
G22,G7,0.016878
G5,G6,0.016858
G94,G50,0.016845
G44,G84,0.016842
G55,G89,0.016788
G54,G39,0.016783
G85,G98,0.016755
G49,G28,0.016741
G5,G75,0.016737
G36,G76,0.01672
G88,G40,0.01671
G41,G23,0.016692
G22,G60,0.016667
G97,G47,0.016659
G37,G64,0.016656
G86,G36,0.016646
G54,G60,0.016604
G3,G24,0.016595
G79,G56,0.016579
G52,G97,0.016543
G90,G89,0.016534
G60,G54,0.016517
G85,G12,0.016509
G81,G97,0.016507
G16,G38,0.016497
G74,G41,0.016489
G12,G62,0.016482
G89,G33,0.016449
G46,G96,0.016429
G80,G69,0.016427
G3,G58,0.016425
G85,G38,0.016421
G42,G66,0.016419
G25,G38,0.016414
G13,G83,0.016414
G45,G14,0.0164
G51,G88,0.016399
G37,G12,0.016392
G15,G45,0.016392
G71,G23,0.016384
G36,G3,0.016384
G70,G82,0.016377
G67,G33,0.016352
G85,G24,0.016349
G63,G79,0.016262
G36,G99,0.01625
G52,G4,0.016231
G85,G42,0.016221
G3,G74,0.016215
G84,G1,0.016196
G10,G63,0.016193
G92,G95,0.016192
G65,G23,0.016189
G67,G99,0.016189
G79,G91,0.016187
G85,G32,0.016183
G91,G93,0.016158
G50,G14,0.016127
G81,G11,0.016124
G27,G19,0.016117
G47,G79,0.016117
G91,G5,0.016116
G2,G96,0.016084
G49,G97,0.01608
G22,G85,0.016072
G32,G91,0.016071
G43,G23,0.016071
G84,G29,0.016058
G15,G46,0.016043
G27,G17,0.016036
G38,G89,0.016035
G99,G74,0.015984
G21,G96,0.015953
G97,G83,0.015949
G8,G1,0.015942
G5,G24,0.015911
G74,G19,0.015891
G2,G3,0.015886
G80,G88,0.015861
G55,G84,0.015831
G24,G19,0.015819
G98,G60,0.015814
G21,G77,0.015812
G47,G75,0.015805
G5,G63,0.015801
G5,G40,0.0158
G79,G52,0.015794
G29,G58,0.015792
G36,G33,0.01579
G95,G43,0.015787
G71,G88,0.015765
G1,G77,0.015765
G20,G45,0.015738
G40,G16,0.015733
G60,G69,0.015729
G15,G77,0.015723
G96,G46,0.015712
G68,G23,0.015706
G67,G36,0.0157
G100,G1,0.015695
G30,G39,0.015694
G68,G88,0.015686
G100,G80,0.015663
G48,G70,0.015659
G67,G50,0.015633
G42,G83,0.015632
G71,G61,0.015628
G33,G74,0.015617
G39,G97,0.015594
G85,G4,0.015594
G14,G43,0.015581
G88,G8,0.015581
G51,G4,0.015574
G47,G43,0.015573
G14,G1,0.015558
G4,G32,0.015549
G61,G86,0.015546
G34,G62,0.015534
G28,G27,0.015529
G76,G27,0.015517
G82,G44,0.015509
G8,G19,0.015501
G96,G94,0.015488
G84,G4,0.015483
G55,G100,0.015482
G81,G52,0.015446
G93,G73,0.015422
G39,G80,0.015421
G85,G91,0.015393
G11,G70,0.015389
G1,G36,0.015374
G19,G56,0.015371
G10,G37,0.015355
G90,G33,0.015327
G63,G91,0.015324
G25,G43,0.01532
G10,G21,0.015319
G90,G2,0.015317
G32,G79,0.015314
G33,G9,0.015296
G67,G60,0.015292
G9,G22,0.015277
G53,G37,0.01527
G72,G64,0.015269
G72,G33,0.015237
G98,G54,0.015221
G33,G78,0.01522
G13,G45,0.015208
G63,G37,0.015206
G84,G60,0.015194
G26,G23,0.015187
G41,G17,0.015182
G7,G85,0.015179
G56,G83,0.015165
G53,G29,0.01516
G52,G33,0.015113
G31,G12,0.015099
G80,G33,0.015099
G10,G88,0.015084
G72,G18,0.015058
G77,G74,0.015052
G12,G77,0.015045
G55,G4,0.015045
G92,G87,0.01504
G89,G6,0.015038
G75,G33,0.015022
G57,G22,0.015022
G71,G55,0.015016
G42,G88,0.015014
G88,G27,0.015008
G34,G95,0.015002
G32,G3,0.014998
G47,G73,0.014989
G73,G95,0.014983
G48,G99,0.014931
G80,G6,0.014921
G55,G14,0.01491
G25,G65,0.014902
G86,G60,0.014898
G13,G64,0.014894
G74,G3,0.014876
G83,G64,0.014855
G47,G69,0.014851
G69,G62,0.014832
G10,G86,0.01483
G48,G31,0.014829
G69,G29,0.014827
G53,G95,0.014789
G93,G16,0.014788
G2,G90,0.014766
G26,G78,0.014763
G98,G96,0.014737
G15,G5,0.014728
G92,G90,0.014711
G41,G65,0.014706
G43,G5,0.0147
G51,G55,0.0147
G86,G89,0.014699
G18,G42,0.014695
G80,G96,0.014694
G98,G58,0.014692
G2,G78,0.014684
G84,G21,0.014683
G88,G68,0.014662
G93,G66,0.014648
G35,G14,0.014636
G58,G35,0.014627
G85,G80,0.014623
G85,G19,0.014606
G16,G13,0.014596
G66,G58,0.01459
G23,G28,0.014563
G87,G61,0.014553
G58,G46,0.014547
G77,G4,0.014542
G79,G78,0.014541
G29,G4,0.014531
G22,G49,0.014525
G85,G14,0.014517
G57,G86,0.014503
G31,G98,0.014502
G98,G24,0.014488
G80,G85,0.014488
G38,G87,0.014481
G75,G56,0.014449
G77,G60,0.014432
G4,G2,0.014421
G1,G97,0.014418
G35,G68,0.014414
G86,G1,0.014399
G1,G18,0.014392
G71,G3,0.01437
G32,G76,0.014368
G37,G53,0.014366
G43,G42,0.014363
G2,G36,0.014354
G86,G80,0.014352
G51,G8,0.014341
G10,G12,0.014336
G31,G77,0.014334
G26,G85,0.014327
G17,G34,0.014323
G85,G86,0.01431
G57,G93,0.014308
G15,G30,0.014303
G80,G66,0.0143
G17,G60,0.0143
G69,G18,0.014286
G39,G64,0.014281
G19,G13,0.014278
G44,G30,0.014278
G49,G18,0.014276
G72,G90,0.014272
G79,G93,0.014269
G21,G69,0.014268
G18,G36,0.014253
G15,G96,0.014253
G14,G54,0.014242
G77,G5,0.014242
G68,G2,0.01424
G24,G96,0.014229
G88,G76,0.014215
G82,G64,0.014215
G10,G77,0.014202
G10,G29,0.014196
G10,G78,0.014195
G57,G41,0.014189
G5,G43,0.014178
G28,G34,0.014175
G28,G60,0.014163
G54,G91,0.014156
G100,G89,0.014155
G13,G17,0.014152
G62,G12,0.014139
G67,G80,0.014127
G83,G76,0.014122
G61,G14,0.014106
G83,G22,0.014103
G80,G53,0.014101
G23,G27,0.014101
G58,G47,0.0141
G74,G30,0.014098
G42,G61,0.014087
G73,G55,0.014082
G18,G40,0.014077
G84,G89,0.014076
G1,G54,0.014069
G49,G40,0.014063
G40,G92,0.014029
G92,G79,0.014027
G79,G77,0.014015
G10,G42,0.014003
G9,G27,0.014001
G100,G60,0.013996
G93,G88,0.013966
G24,G78,0.013961
G89,G43,0.01396
G26,G68,0.013954
G24,G95,0.013952
G48,G66,0.013948
G75,G28,0.013925
G54,G65,0.01392
G77,G79,0.013916
G55,G22,0.013914
G22,G79,0.013909
G51,G24,0.013898
G61,G4,0.013897
G88,G96,0.013891
G21,G5,0.013857
G58,G52,0.013846
G52,G5,0.013842
G95,G19,0.013832
G12,G89,0.013822
G6,G32,0.013822
G34,G43,0.013811
G69,G80,0.013808
G16,G43,0.0138
G32,G15,0.013796
G97,G36,0.013777
G63,G7,0.013757
G42,G24,0.013751
G62,G69,0.013743
G80,G50,0.013742
G32,G92,0.013741
G88,G35,0.013735
G53,G85,0.013732
G63,G62,0.013727
G80,G42,0.0137
G63,G56,0.013692
G29,G21,0.013688
G10,G65,0.013688
